읍면동별 세대원수별 세대수,,,,,,,,,,,,,,
2016년 12월,,,,,,,,,,,,,,
행정기관코드,시도,시군구,읍면동,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
1121586000,서울특별시,광진구,구의제2동,10474,3527,2265,2079,1953,503,89,40,13,3,2
1121587000,서울특별시,광진구,구의제3동,11569,3591,2237,2487,2554,543,117,27,9,3,1
1123000000,서울특별시,동대문구,,159426,68367,31203,26741,24467,6463,1652,378,97,38,20
1123053600,서울특별시,동대문구,용신동,16410,8809,3057,2129,1764,489,122,34,3,1,2
1123054500,서울특별시,동대문구,제기동,12758,6370,2467,1816,1523,429,119,23,6,4,1
1123056000,서울특별시,동대문구,전농제1동,14021,6421,2661,2281,1981,515,119,33,3,4,3
1123057000,서울특별시,동대문구,전농제2동,7653,1944,1646,1756,1683,463,123,30,3,4,1
1123060000,서울특별시,동대문구,답십리제1동,10134,3715,2016,1893,1832,508,129,31,6,3,1
1123061000,서울특별시,동대문구,답십리제2동,12003,3745,2672,2472,2330,585,147,40,7,5,0
1123065000,서울특별시,동대문구,장안제1동,16314,6280,3262,3063,2742,702,202,43,13,5,2
1123066000,서울특별시,동대문구,장안제2동,12395,4026,2430,2597,2495,642,157,26,16,3,3
1123070500,서울특별시,동대문구,청량리동,10594,4706,2294,1672,1382,420,91,18,6,4,1
1123071000,서울특별시,동대문구,회기동,5799,3492,887,629,599,142,38,5,6,0,1
1123072000,서울특별시,동대문구,휘경제1동,7052,3827,1265,900,795,202,47,11,4,1,0
1123073000,서울특별시,동대문구,휘경제2동,10833,4475,1952,1845,1916,482,121,27,10,3,2
1123074000,서울특별시,동대문구,이문제1동,14775,7956,2686,1923,1637,414,118,29,9,0,3
1123075000,서울특별시,동대문구,이문제2동,8685,2601,1908,1765,1788,470,119,28,5,1,0
1126000000,서울특별시,중랑구,,177400,67162,38045,33340,29549,7269,1556,343,101,22,13
1126052000,서울특별시,중랑구,면목제2동,12165,4996,2602,2148,1850,441,99,18,11,0,0
1126054000,서울특별시,중랑구,면목제4동,9668,3897,2079,1747,1492,342,88,18,3,2,0
1126055000,서울특별시,중랑구,면목제5동,4801,1947,1038,870,733,163,38,11,1,0,0
1126056500,서울특별시,중랑구,면목본동,16974,7451,3700,2880,2282,526,106,23,5,0,1
1126057000,서울특별시,중랑구,면목제7동,10265,4065,2236,1905,1591,364,83,16,3,2,0
1126057500,서울특별시,중랑구,면목제3.8동,12554,5184,2672,2324,1819,417,108,23,6,0,1
1126058000,서울특별시,중랑구,상봉제1동,9951,2797,2063,2129,2317,513,87,33,9,3,0
1126059000,서울특별시,중랑구,상봉제2동,9764,5194,1866,1382,1047,214,45,12,4,0,0
1126060000,서울특별시,중랑구,중화제1동,8614,2717,1994,1852,1548,391,76,28,7,0,1
1126061000,서울특별시,중랑구,중화제2동,13904,6767,2900,2170,1583,384,79,14,4,1,2
1126062000,서울특별시,중랑구,묵제1동,13404,3946,2864,2895,2787,699,155,36,16,3,3
1126063000,서울특별시,중랑구,묵제2동,8816,3400,1965,1652,1349,355,77,11,3,3,1
1126065500,서울특별시,중랑구,망우본동,14776,6184,3111,2645,2154,544,112,20,4,1,1
1126066000,서울특별시,중랑구,망우제3동,8310,3329,1899,1484,1203,305,69,17,2,2,0
1126068000,서울특별시,중랑구,신내1동,14386,2883,2974,3185,3839,1196,244,46,15,2,2
1126069000,서울특별시,중랑구,신내2동,9048,2405,2082,2072,1955,415,90,17,8,3,1
1129000000,서울특별시,성북구,,188304,69093,38167,35422,34229,8556,2075,552,127,46,37
1129052500,서울특별시,성북구,성북동,8112,3645,1667,1174,1155,336,93,27,5,2,8
1129055500,서울특별시,성북구,삼선동,12537,5693,2459,1932,1843,473,107,22,5,3,0
1129057500,서울특별시,성북구,동선동,8857,5294,1459,986,796,238,61,17,3,1,2
1129058000,서울특별시,성북구,돈암제1동,6505,1758,1507,1426,1374,339,77,18,3,2,1
1129059000,서울특별시,성북구,돈암제2동,7827,1332,1506,1959,2214,585,152,60,11,5,3
1129060000,서울특별시,성북구,안암동,8747,5270,1389,953,873,200,46,11,1,3,1
1129061000,서울특별시,성북구,보문동,7106,3429,1349,1098,961,214,40,9,3,0,3
1129062000,서울특별시,성북구,정릉제1동,7060,1876,1487,1623,1555,380,98,32,6,0,3
1129063000,서울특별시,성북구,정릉제2동,9692,2924,2181,2029,1915,500,110,22,8,3,0
1129064000,서울특별시,성북구,정릉제3동,7580,3531,1466,1245,981,260,66,20,4,4,3
1129065000,서울특별시,성북구,정릉제4동,11017,3390,2450,2358,2113,538,127,30,10,1,0
1129066000,서울특별시,성북구,길음제1동,12983,2577,2383,3157,3840,744,205,52,19,2,4
1129068500,서울특별시,성북구,길음제2동,5526,2160,1062,950,1019,245,70,17,3,0,0
1129070500,서울특별시,성북구,종암동,17026,5896,3360,3342,3328,844,188,54,9,5,0
1129071500,서울특별시,성북구,월곡제1동,10759,3031,2243,2287,2406,596,149,37,8,0,2
1129072500,서울특별시,성북구,월곡제2동,8764,3361,1745,1629,1507,384,98,24,9,4,3
1129076000,서울특별시,성북구,장위제1동,9250,3157,2088,1796,1631,441,95,31,6,3,2
1129077000,서울특별시,성북구,장위제2동,8788,3322,2020,1584,1381,363,86,23,4,5,0
1129078000,서울특별시,성북구,장위제3동,5460,1983,1146,1044,955,253,58,17,3,1,0
1129081000,서울특별시,성북구,석관동,14708,5464,3200,2850,2382,623,149,29,7,2,2
1130500000,서울특별시,강북구,,141229,52653,31855,26664,22483,5763,1332,325,89,42,23
1130553400,서울특별시,강북구,삼양동,12692,4650,2871,2454,2026,548,102,25,10,4,2
1130553500,서울특별시,강북구,미아동,10849,4847,2338,1773,1398,385,79,16,9,3,1
1130554500,서울특별시,강북구,송중동,12585,5051,2713,2230,1902,511,129,32,8,6,3
1130555500,서울특별시,강북구,송천동,13825,5862,3050,2334,1968,464,107,29,9,1,1
1130557500,서울특별시,강북구,삼각산동,12072,2598,2315,2757,3438,766,152,38,7,1,0
1130559000,서울특별시,강북구,번제1동,9824,4714,2064,1520,1159,286,60,15,3,3,0
